NR_PARTIDO;SG_PARTIDO;NM_PARTIDO
22;PL;PARTIDO LIBERAL
30;NOVO;PARTIDO NOVO
20;PSC;PARTIDO SOCIAL CRISTÃO
44;UNIÃO;UNIÃO BRASIL
19;PODE;PODEMOS
45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
77;SOLIDARIEDADE;SOLIDARIEDADE
40;PSB;PARTIDO SOCIALISTA BRASILEIRO
27;DC;DEMOCRACIA CRISTÃ
15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO
14;PTB;PARTIDO TRABALHISTA BRASILEIRO
28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
23;CIDADANIA;CIDADANIA
29;PCO;PARTIDO DA CAUSA OPERÁRIA
12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL
10;REPUBLICANOS;REPUBLICANOS
11;PP;PROGRESSISTAS
36;AGIR;AGIR
13;PT;PARTIDO DOS TRABALHADORES
55;PSD;PARTIDO SOCIAL DEMOCRÁTICO
50;PSOL;PARTIDO SOCIALISMO E LIBERDADE
51;PATRIOTA;PATRIOTA
35;PMB;PARTIDO DA MULHER BRASILEIRA
65;PC do B;PARTIDO COMUNISTA DO BRASIL
70;AVANTE;AVANTE
90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL
43;PV;PARTIDO VERDE
18;REDE;REDE SUSTENTABILIDADE
21;PCB;PARTIDO COMUNISTA BRASILEIRO
16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO
80;UP;UNIDADE POPULAR
